Fake Name,Station Name,Station No.,First Date,Line,Edition
Abbey Road,Abbey Road,26,23/09/2020,DLR,ϙ3
All Saints,All Saints,34,23/09/2020,DLR,ϙ3
Bank,Bank,1,13/12/2019,DLR,ϙ1
Beckton,Beckton,18,23/09/2020,DLR,ϙ3
Beckton Park,Beckton Park,15,23/09/2020,DLR,ϙ3
Blackwall,Blackwall,8,23/09/2020,DLR,ϙ3
Bow Church,Bow Church,31,23/09/2020,DLR,ϙ3
Canary Wharf,Canary Wharf,5,13/12/2019,DLR,ϙ1
Canning Town,Canning Town,10,23/09/2020,DLR,ϙ3
Crossharbour,Crossharbour,38,23/09/2020,DLR,ϙ3
Custom House for ExCeL,Custom House for ExCeL,12,23/09/2020,DLR,ϙ3
Cutty Sark for Maritime Greenwich,Cutty Sark for Maritime Greenwich,41,23/09/2020,DLR,ϙ3
Cyprus,Cyprus,16,23/09/2020,DLR,ϙ3
Deptford Bridge,Deptford Bridge,43,23/09/2020,DLR,ϙ3
Devons Road,Devons Road,32,23/09/2020,DLR,ϙ3
East India,East India,9,23/09/2020,DLR,ϙ3
Elverson Road,Elverson Road,44,23/09/2020,DLR,ϙ3
Gallions Reach,Gallions Reach,17,23/09/2020,DLR,ϙ3
Greenwich,Greenwich,42,23/09/2020,DLR,ϙ3
Heron Quays,Heron Quays,36,23/09/2020,DLR,ϙ3
Island Gardens,Island Gardens,40,23/09/2020,DLR,ϙ3
King George V,King George V,22,23/09/2020,DLR,ϙ3
Langdon Park,Langdon Park,33,23/09/2020,DLR,ϙ3
Lewisham,Lewisham,45,23/09/2020,DLR,ϙ3
Limehouse,Limehouse,3,13/12/2019,DLR,ϙ1
London City Airport,London City Airport,21,23/09/2020,DLR,ϙ3
Mudchute,Mudchute,39,23/09/2020,DLR,ϙ3
Pontoon Dock,Pontoon Dock,20,23/09/2020,DLR,ϙ3
Poplar,Poplar,7,23/09/2020,DLR,ϙ3
Prince Regent,Prince Regent,13,23/09/2020,DLR,ϙ3
Pudding Mill Lane,Pudding Mill Lane,30,23/09/2020,DLR,ϙ3
Royal Albert ,Royal Albert,14,23/09/2020,DLR,ϙ3
Royal Victoria,Royal Victoria,11,23/09/2020,DLR,ϙ3
Shadwell,Shadwell (Sandwell),2,13/12/2019,DLR,ϙ1
South Quay,South Quay,37,23/09/2020,DLR,ϙ3
Star Lane,Star Lane,24,23/09/2020,DLR,ϙ3
Stratford,Stratford,28,23/09/2020,DLR,ϙ3
Stratford High Street,Stratford High Street,27,23/09/2020,DLR,ϙ3
Stratford International,Stratford Int'l,29,23/09/2020,DLR,ϙ3
Tower Gateway,Tower Gateway,6,23/09/2020,DLR,ϙ3
West Ham,West Ham,25,23/09/2020,DLR,ϙ3
West India Quay,West India Quay,35,23/09/2020,DLR,ϙ3
West Silvertown,West Silvertown,19,23/09/2020,DLR,ϙ3
Westferry,Westferry,4,13/12/2019,DLR,ϙ1
Woolwich Arsenal,Woolwich Arsenal,23,23/09/2020,DLR,ϙ3
