Fake Name,Station Name,Station No.,First Date,City,Edition
Bull Street,Bull Street,1,28/08/21,Brummy,Ξ4
St Chads,St Chad,2,28/08/21,Brummy,Ξ4
St Paul's,St Paul's,3,28/08/21,Brummy,Ξ4
Jewellery Quarter,Jewellery Qtr,4,28/08/21,Brummy,Ξ4
Soho Benson Road,Soho,5,28/08/21,Brummy,Ξ4
Winson Green,Winson Green,6,28/08/21,Brummy,Ξ4
Handsworth Booth Street,Handsworth,7,28/08/21,Brummy,Ξ4
The Hawthorns,The Hawthorns,8,28/08/21,Brummy,Ξ4
Kenrick Park,Kenrick Park,9,28/08/21,Brummy,Ξ4
Trinity Way,Trinity Way,10,28/08/21,Brummy,Ξ4
West Bromwich Central,West Brom,11,28/08/21,Brummy,Ξ4
Lodge Road,Lodge Road,12,28/08/21,Brummy,Ξ4
Dartmouth Street,Dartmouth Street,13,28/08/21,Brummy,Ξ4
City Hall,City Hall,14,23/03/25,Sheffield,White Rose 3
Cathedral,Cathedral,15,23/03/25,Sheffield,White Rose 3
Castle Square,Castle Square,16,23/03/25,Sheffield,White Rose 3
Fitzalan Square,Fitzalan Square,17,23/03/25,Sheffield,White Rose 3
Hyde Park,Hyde Park,18,23/03/25,Sheffield,White Rose 3
Cricket Inn Road,Cricket Inn Road,19,23/03/25,Sheffield,White Rose 3
Nunnery Sqaure,Nunnery Square,20,23/03/25,Sheffield,White Rose 3
Woodburn Road,Woodburn Road,21,23/03/25,Sheffield,White Rose 3
Attercliffe,Attercliffe,22,23/03/25,Sheffield,White Rose 3
Olympic Legacy Park,Olympic Legacy Park,23,23/03/25,Sheffield,White Rose 3
Valley Centertainment,Valley Centertainment,24,23/03/25,Sheffield,White Rose 3
Carbrook,Carbrook IKEA,25,23/03/25,Sheffield,White Rose 3
