Fake Name,Station Name,Station No.,First Date,Line,Edition
Acton Central,Acton Central,5,01/02/2020,North London,ϙ2
Anerley,Anerley,87,20/07/2024,Windrush,ϙ17
Barking,Barking,68,11/09/2022,Goblin,ϙ14
Blackhorse Road,Blackhorse Road,74,11/09/2022,Goblin,ϙ14
Brockley,Broccoli,92,20/07/2024,Windrush,ϙ17
Brondesbury,Brondesbury,34,29/08/2021,North London,ϙ8
Brondesbury Park,Brondesbury Park,33,29/08/2021,North London,ϙ8
Bruce Grove,Bruce Grove,10,01/02/2020,Lea Valley,ϙ2
Bushey,Bushey,25,01/08/2021,Overloo,ϙ6
Bush Hill Park,Bush Hill Park,83,11/09/2022,Lea Valley,ϙ14
Caledonian Road & Barnsbury,Caledonian Road & Barnsbury,41,30/08/2021,North London,ϙ8
Camden Road,Camden Road (Bye!),35,29/08/2021,North London,ϙ8
Canada Water,Canada Water,57,09/10/2021,Windrush,ϙ9
Canonbury,Canonbury,43,30/08/2021,North London,ϙ8
Carpenders Park,Carpenders Park,24,01/08/2021,Overloo,ϙ6
Cheshunt,Cheshunt,82,11/09/2022,Lea Valley,ϙ14
Clapham High Street,Clapham High Street,63,30/03/2022,Windrush,ϙ11
Clapham Junction,Clapham Junction,13,02/02/2020,North London,ϙ2
Dalston Junction,Dalston Junction,49,09/10/2021,Windrush,ϙ9
Dalston Kingsland,Dalston Kingsland,44,30/08/2021,North London,ϙ8
Denmark Hill,Denmark Hill,62,30/03/2022,Windrush,ϙ11
Edmonton Green,Edmonton Green,78,11/09/2022,Lea Valley,ϙ14
Emerson Park,Emerson Park,66,11/09/2022,Romminster,ϙ14
Enfield Town,Enfield Town,84,11/09/2022,Lea Valley,ϙ14
Euston,Euston,31,14/08/2021,Overloo,Ξ3
Finchley Road & Frognal,F & Frog,39,29/08/2021,North London,ϙ8
Forest Hill,Forest Hill,90,20/07/2024,Windrush,ϙ17
Gospel Oak,Gospel Oak,37,29/08/2021,North London,ϙ8
Gunnersbury,Gunnersbury,7,01/02/2020,North London,ϙ2
Hackney Central,Hackney Central (300th),45,30/08/2021,North London,ϙ8
Hackney Wick,Hackney Wick,47,30/08/2021,North London,ϙ8
